City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Warrnambool,AU,-38.3833,142.4833,56.95,76,96,27.31,overcast clouds
196,Talnakh,RU,69.4865,88.3972,-17.28,98,100,11.59,light snow
197,Klyuchi,RU,52.2667,79.1667,6.35,98,91,4.12,overcast clouds
198,Kaya,BF,13.0917,-1.0844,68.9,14,11,8.48,few clouds
199,Mar Del Plata,AR,-38.0023,-57.5575,63.09,78,0,11.99,clear sky
200,Agua Branca,BR,-5.8922,-42.6361,75.0,71,13,2.89,few clouds
201,Klichka,RU,50.4457,117.996,4.62,75,100,16.62,overcast clouds
202,Atyrau,KZ,47.1167,51.8833,10.42,72,0,15.66,clear sky
203,The Valley,AI,18.217,-63.0578,78.82,67,11,13.38,few clouds
204,Pisco,PE,-13.7,-76.2167,68.05,83,0,9.22,clear sky
205,Ewa Beach,US,21.3156,-158.0072,78.75,69,75,16.11,broken clouds
206,Clyde River,CA,70.4692,-68.5914,-3.51,84,100,4.63,overcast clouds
207,Nome,US,64.5011,-165.4064,24.87,68,100,17.27,overcast clouds
208,Gat,IL,31.61,34.7642,59.4,51,95,3.76,overcast clouds
209,Faanui,PF,-16.4833,-151.75,74.08,88,100,9.17,moderate rain
210,Troitsko-Pechorsk,RU,62.7084,56.1964,-11.34,100,82,2.06,broken clouds
211,Mosquera,CO,4.7059,-74.2302,50.09,100,20,2.3,few clouds
212,Nova Vicosa,BR,-17.8919,-39.3719,75.74,91,74,10.83,broken clouds
213,Clearwater,US,27.9659,-82.8001,66.92,80,0,6.91,clear sky
214,Porto Nacional,BR,-10.7081,-48.4172,78.8,93,77,3.0,broken clouds
215,Ponnampet,IN,12.15,75.9333,64.45,98,95,2.33,overcast clouds
216,Necochea,AR,-38.5473,-58.7368,58.68,88,0,8.03,clear sky
217,Cedartown,US,34.0537,-85.255,54.72,98,100,2.24,overcast clouds
218,Cilegon,ID,-6.0174,106.0538,82.69,68,98,10.83,overcast clouds
219,Ribeira Grande,PT,38.5167,-28.7,64.78,86,19,25.01,few clouds
220,Santa Maria,BR,-29.6842,-53.8069,79.88,46,0,5.77,clear sky
221,Fukue,JP,32.6881,128.8419,55.29,53,100,10.58,overcast clouds
222,Kapaa,US,22.0752,-159.319,80.58,90,40,21.85,light rain
223,Inhambane,MZ,-23.865,35.3833,76.35,87,95,7.11,overcast clouds
224,Sucua,EC,-2.4667,-78.1667,66.52,98,99,3.15,overcast clouds
225,Nipawin,CA,53.3668,-104.0009,21.06,87,100,7.18,overcast clouds
226,San Lorenzo,PY,-25.3333,-57.5333,77.94,94,0,2.3,clear sky
227,Zyryanka,RU,65.75,150.85,-30.75,94,99,7.74,overcast clouds
228,Klaksvik,FO,62.2266,-6.589,32.92,57,100,29.82,light snow
229,Karasuk,RU,53.7377,78.0403,-6.2,100,98,4.07,overcast clouds
230,La Romana,DO,18.4273,-68.9728,73.76,94,40,0.0,scattered clouds
231,Khandbari,NP,27.3747,87.2039,57.78,44,0,2.26,clear sky
232,Bandiagara,ML,14.3501,-3.6104,69.98,13,0,8.97,clear sky
233,Hithadhoo,MV,-0.6,73.0833,80.89,77,100,12.01,overcast clouds
234,Phalombe,MW,-15.8064,35.6507,67.05,88,0,1.66,clear sky
235,Pevek,RU,69.7008,170.3133,-16.49,98,100,17.22,light snow
236,Pangnirtung,CA,66.1451,-65.7125,11.39,95,97,2.98,overcast clouds
237,Phek,IN,25.6667,94.5,45.72,79,13,1.68,few clouds
238,Ponta Do Sol,PT,32.6667,-17.1,73.0,92,57,11.03,broken clouds
239,Mount Hagen,PG,-5.8581,144.2274,71.4,77,100,1.43,overcast clouds
240,Salinopolis,BR,-0.6136,-47.3561,79.0,81,58,10.78,broken clouds
241,San Andres,CO,12.5847,-81.7006,80.62,74,20,8.05,few clouds
242,Gerash,IR,27.6652,54.1371,47.07,45,0,1.68,clear sky
243,Carballo,ES,43.213,-8.691,53.01,92,100,5.3,overcast clouds
244,Margate,GB,51.3813,1.3862,38.7,90,100,8.01,overcast clouds
245,Poyarkovo,RU,49.6,128.6833,11.37,90,100,12.84,overcast clouds
246,Machali,CL,-34.1833,-70.6667,69.26,19,0,3.18,clear sky
